sender_id,sender_id_link,date,user goal (if supported),user goal fullfilled,user goal (not supported) ,reason for failure,details on failure / comments
,,11.11.2018,whatspossible,yes,,,
,,11.11.2018,-,,,,
,https://docs.google.com/spreadsheets/d/15cKBE58GUoJEptGYGk3hocwhFMiqUD1wU2HilvFhzXk/edit#gid=0,11.11.2018,oos,no,how to train,NLU as mood confirm,
,,11.11.2018,-,,,,
,,11.11.2018,oos,yes,weird questions,,
,,11.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/b075438def4940a9a45956bc7478c0c2,11.11.2018,oos,no,how many skills do you have,weather,
,,11.11.2018,rasa_help,yes,,,
,https://website-demo.rasa.com/conversations/4a93d442a6bf49b5958d95995e97031d,11.11.2018,oos,yes,oosresources for getting started ,,
,https://website-demo.rasa.com/conversations/f655fad0518643ae9dfa89338c746df5,11.11.2018,rasa_help,no,,user left,
,,11.11.2018,-,,,,
,,11.11.2018,chitchat,yes,,,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,,11.11.2018,rasa_help,yes,,,
,https://website-demo.rasa.com/conversations/804d35ce86e44cd9ba107f1d0ba42678,11.11.2018,chitchat,no,,,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,,11.11.2018,chitchat,yes,,,
,,11.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/d25acaf90efb4918b82a36fd4c73b60b,11.11.2018,rasa_help,no,,user left ,
,,11.11.2018,chitchat,yes,,,
,,11.11.2018,whatspossible,yes,,,
,,11.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/a3a89abe1a454ae4bf7f513b8676d8a4,11.11.2018,oos,no,voice possible? ,NLU as handoff,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,,12.11.2018,,,,,
,,12.11.2018,sales,yes,,,
,,12.11.2018,oos,yes,can i respond with buttons,,
,,12.11.2018,rasa_help,yes,,,
,,12.11.2018,subscribe,yes,,,
,,12.11.2018,subscribe,yes,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,chitchat,yes,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,subscribe,yes,,,
,https://website-demo.rasa.com/conversations/da9426187d1b47eaa025f80858753d55,12.11.2018,oos,no,hasn't received confirmation,sent thumbsup,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/813110b3760a41e3a37c9a39eb9c572c,12.11.2018,oos,no,weird stuff,should state earlier that it cannot help,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/b77fd2e80b024cbe909037cc69a0cc2f,12.11.2018,oos,yes,possible to integrate with fb,,
,,12.11.2018,whatspossible,yes,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,subscribe,yes,,,
,https://website-demo.rasa.com/conversations/5ea0a3a5a46b424cb0a05a72199bcfd7,12.11.2018,oos,yes,ooshelp,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,rasa_help,yes,,,
,https://website-demo.rasa.com/conversations/8550e149cef148b6b1c9346dab4201d8,12.11.2018,oos,no,how to delete single slots,switch to signup,
,,12.11.2018,-,,,,
,,12.11.2018,subscribe,yes,,,
,https://website-demo.rasa.com/conversations/d5bb68b058084f07b1a7a7d7b470047b,12.11.2018,rasa_help,no,,whatisrasa > action chitchat,
,https://website-demo.rasa.com/conversations/2b6fd089ab104f0d98f92d3e1c69fba0,12.11.2018,oos,yes,we want to build a sales bot,,
,,12.11.2018,chitchat,yes,,,
,,12.11.2018,chitchat,yes,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,subscribe,yes,,,
,,12.11.2018,whatspossible,yes,,,
,https://website-demo.rasa.com/conversations/aa0622978b964e6484dedb1bd6c0f8e9,12.11.2018,oos,no,how can i start investing,noresponse,
,,12.11.2018,rasa_help,yes,,,
,https://website-demo.rasa.com/conversations/7d13a167662b4154be775a3cae91fb61,12.11.2018,oos,no,help me with django,whatspossible,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/a7472da59f4349cda9b5c504841ce0e6,12.11.2018,oos,no,issue with documenttation page,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/b693288d91f64ccb8c1916de2dd1daa7,12.11.2018,oos,no,google,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/12782067c59f4a249c33907fd2217942,12.11.2018,oos,no,chitchat,send cant help sooner,
,https://website-demo.rasa.com/conversations/b2ff163df6b24428a54d2710b50386c0,12.11.2018,oos,no,what is rasa core,what is rasa,
,,12.11.2018,oos,yes,what is duckling,,
,,12.11.2018,,,,,
,,12.11.2018,,,,,
,,12.11.2018,chitchat,yes,,,
